You dislike the fact that your health is slowly deteriorating after each cigarette.	0
You were in a lot of pain.	0
You enjoy the calming effect nicotine gives you.	0
You use amphetamines too often.	0
You dislike how cigarette smoke smells.	0
"You're here to talk about your gambling, is that right?"	0
You realize that by making this change you will have a big impact on your life and you are looking forward to how it will look.	0
You are concerned with the costs of smoking.	0
"You believe that by making changes to your smoking habit, you can improve your health."	0
You realize that quitting smoking is important for your health and would like to make this happen without relying on cigarettes.	0
You enjoy smoking because it helps you cope with stressful situations. 	0
"You got mad at the way you were being treated, and so decided not to interact further."	0
It would be a good idea for you to go through detoxification.	0
You realize that cigarettes can potentially cause financial stress and you wish you could spend less on tobacco.	0
You dislike the health risks of smoking.	0
Quitting smoking will require you to find a way to distract yourself from the craving for cigarettes.	0
It reminds you of your heart attack.	0
Setting long-term plans for your smoking habit would help you quit.	0
"You realize that if you stop smoking, you can reduce the strain on your body. "	0
Social interaction makes you afraid.	0
You value productivity and would like to increase it by smoking less.	0
It is time to create a plan to stop drinking.	0
You want to establish a daily routine so you can smoke at your ease.	0
"If you set long-term plans for your smoking habit, you will be more likely to succeed."	0
You're don't want to break up with your partner because you're you won't find someone else.	0
You're finding that you drink a lot when you're alone.	0
You don't like thinking about smoking because you're afraid to die.	0
You dislike that others know that you smoke.	0
You want to stop smoking cigars altogether.	0
You seem low-energy.	0
It seems like you might be feeling a little concerned that smoking could be gradually affecting your wellbeing.	1
It seemed like you were going through a tough time.	1
It seems like you might find some comfort in the soothing sensation that nicotine seems to provide you.	1
It seems like you might be reaching for the amphetamines a bit more than is usually suggested.	1
It seems like the scent of cigarette smoke might not be your favorite.	1
"So, you've come today to share a bit about your experiences with gambling, haven't you?"	1
"You're beginning to see that by tweaking a few things, there could be some pretty significant shifts in your everyday world, and that's got you feeling a tad bit excited about all the possibilities, doesn't it?"	1
It seems like you're giving some thought to how smoking might be affecting your wallet.	1
How about considering a few adjustments to your smoking routine? It might be a really good step towards feeling healthier.	1
It seems like you might be pondering the thought of letting go of smoking for the sake of your wellbeing. How about we explore ways that could possibly make this transition smoother without leaning on cigarettes?	1
"It seems like you might find some comfort in having a smoke when things get a bit stressful, is that right?"	1
It seems like you may have felt upset about how things were going and gently chose to step back a bit from the situation.	1
"You might find it helpful to consider trying out a detox process, it could possibly be a positive step for you."	1
"It seems like you're starting to notice that spending a bit too much on cigarettes might be putting a strain on your wallet, don't ya? How about pondering on how it would feel to maybe dedicate less of your budget on tobacco."	1
You seem to have some concerns about the possible health impacts that smoking might have.	1
Taking a break from smoking could involve finding some enjoyable activities that keep your mind off the impulse for a cigarette.	1
This might gently jog your memory back to the time when you had that significant flutter in your chest.	1
You might find that making some gentle plans for the future regarding your smoking could be a supportive step towards reducing or even stopping altogether.	1
Have you ever thought about how a little break from smoking might make your body feel a bit more relaxed?	1
You might sometimes feel a bit nervous when it comes to socializing with others.	1
"It sounds like you're really focused on enhancing your productivity, and perhaps a step in that direction could be cutting back a little on your smoking. How does that sound to you?"	1
How about we start considering some strategies together to gently reduce your alcohol consumption?	1
It seems like the idea of setting up a daily schedule might help in finding a more comfortable space for you to enjoy smoking.	1
"You know, perhaps if we think about gently setting some future goals around your smoking, it might just make the journey to success feel more attainable and friendly, don't you think?"	1
It seems like you might be holding onto this relationship because of a fear that you may not find someone else.	1
"It seems like you might be having a few more drinks when you're by yourself, don't you think?"	1
"It seems like you might find it a bit uncomfortable to contemplate about smoking, possibly because it stirs up worries about your health and longevity."	1
It seems like you might feel a bit uncomfortable when others find out that you smoke.	1
"It seems like you might be considering the idea of giving up cigars completely, aren't you?"	1
You might be feeling a little less sparkly than usual.	1
